累加出油量/L	油位高度/mm
52.72	1150.72
102.72	1123.99
152.72	1101.15
202.72	1080.51
252.72	1061.36
302.72	1043.29
352.72	1026.08
402.72	1009.54
452.72	993.57
502.72	978.08
552.72	962.99
602.72	948.26
652.72	933.84
702.72	919.69
752.72	905.78
802.72	892.10
852.72	878.61
902.72	865.30
952.72	852.15
1002.72	839.14
1052.72	826.27
1102.72	813.52
1152.72	800.87
1202.72	788.33
1252.72	775.88
1302.72	763.51
1352.72	751.21
1402.72	738.98
1452.72	726.81
1502.72	714.70
1552.72	702.64
1602.72	690.61
1652.72	678.63
1702.72	666.68
1752.72	654.75
1802.72	642.84
1852.72	630.96
1902.72	619.08
1952.72	607.21
2002.72	595.35
2052.72	583.48
2102.72	571.61
2152.72	559.72
2202.72	547.82
2252.72	535.90
2302.72	523.95
2352.72	511.97
2402.72	499.96
2452.72	487.90
2502.72	475.80
2552.72	463.65
2602.72	451.43
2652.72	439.15
2702.72	426.80
2752.72	414.36
2802.72	401.84
2852.72	389.22
2902.72	376.49
2952.72	363.64
3002.72	350.67
3052.72	337.55
3102.72	324.27
3152.72	310.82
3202.72	297.18
3252.72	283.33
3302.72	269.24
3352.72	254.88
3402.72	240.21
3452.72	225.21
3502.72	209.81
3552.72	193.94
3602.72	177.54
3652.72	160.48
3702.72	142.62
	
