出油量/L	显示油高/mm	显示油量容积/L
60.00	2632.23 	60448.88 
149.09	2624.30 	60311.43 
68.45	2620.67 	60248.03 
199.27	2610.29 	60065.11 
70.05	2606.61 	59999.69 
136.36	2599.59 	59874.06 
232.74	2587.60 	59657.02 
107.97	2582.05 	59555.51 
49.24	2579.57 	59509.94 
80.65	2575.44 	59433.77 
120.29	2569.46 	59322.85 
108.24	2564.12 	59223.17 
83.46	2559.83 	59142.66 
229.93	2548.47 	58927.69 
181.70	2539.63 	58758.61 
238.52	2528.01 	58534.01 
131.79	2521.63 	58409.58 
238.33	2510.23 	58185.31 
42.92	2508.17 	58144.52 
171.34	2500.07 	57983.36 
212.34	2490.06 	57782.53 
92.38	2485.73 	57695.08 
243.85	2474.40 	57464.67 
206.69	2464.77 	57267.02 
224.50	2454.51 	57054.65 
169.26	2446.77 	56893.24 
220.09	2436.85 	56684.86 
117.54	2431.55 	56572.86 
93.44	2427.32 	56483.12 
114.46	2422.20 	56374.11 
174.69	2414.35 	56206.14 
232.77	2404.05 	55984.22 
110.86	2399.15 	55878.05 
138.59	2393.12 	55746.87 
242.21	2382.50 	55514.45 
186.43	2374.35 	55334.90 
275.38	2362.44 	55070.68 
92.65	2358.40 	54980.57 
239.28	2348.13 	54750.40 
206.68	2339.37 	54552.85 
104.63	2334.88 	54451.17 
158.80	2328.13 	54297.75 
142.43	2322.14 	54161.06 
189.17	2314.14 	53977.71 
238.95	2304.14 	53747.27 
73.58	2301.09 	53676.72 
245.27	2290.87 	53439.37 
251.78	2280.46 	53196.16 
134.59	2274.92 	53066.14 
153.02	2268.61 	52917.56 
188.26	2260.89 	52735.08 
220.97	2251.88 	52521.14 
229.97	2242.46 	52296.37 
237.73	2232.88 	52066.65 
144.04	2226.99 	51924.85 
158.25	2220.70 	51772.96 
287.87	2209.13 	51492.32 
192.77	2201.40 	51303.95 
262.67	2190.91 	51047.20 
121.96	2186.14 	50930.04 
208.47	2177.92 	50727.53 
198.58	2170.04 	50532.69 
297.29	2158.40 	50243.62 
72.41	2155.54 	50172.37 
178.40	2148.54 	49997.62 
184.06	2141.32 	49816.82 
74.38	2138.42 	49744.05 
285.23	2127.37 	49465.96 
279.15	2116.53 	49191.94 
166.23	2110.14 	49029.86 
254.41	2100.32 	48779.99 
89.64	2096.84 	48691.21 
214.75	2088.64 	48481.56 
120.77	2084.03 	48363.42 
168.81	2077.58 	48197.79 
272.92	2067.14 	47928.87 
103.92	2063.17 	47826.34 
131.94	2058.14 	47696.24 
181.74	2051.30 	47518.96 
142.11	2045.92 	47379.23 
264.62	2035.94 	47119.35 
313.84	2024.06 	46808.88 
